customer_id,member_type,region_1,region_2
783c83989ab2,비회원,경기,안성시
42601e9d4c82,비회원,경기,고양시
527c4379ca7d,비회원,강원특별자치도,원주시
061640637160,비회원,경기,용인시
b9d0c0469b78,비회원,서울,노원구
6412b466ff83,비회원,경기,파주시
e37c2a635eec,비회원,서울,노원구
b968bbdab6d8,비회원,서울,마포구
3e533e4bcd20,비회원,대구,수성구
7383e38e0f33,비회원,충남,아산시
53d3cdafbb0a,비회원,경기,용인시
7c90fd7d8908,비회원,서울,강동
9d3cd840687a,비회원,전북특별자치도,김제시
adcc0860a9cb,비회원,전북특별자치도,익산시
3ead12fa5b31,비회원,전남,목포시
e4efacdb6681,비회원,인천,서구
49eee8a510ed,비회원,울산,동
0c3b696a4ae7,비회원,경남,창원시
301010f39317,비회원,부산,금정구
b64b0a755440,비회원,경기,부천시
68602f9fb775,비회원,강원특별자치도,춘천시
cae9372e6cf5,비회원,경기,평택시
755fbb78fd92,비회원,부산,동
2a05241bad9a,비회원,충북,청주시
ecfd83fc729b,비회원,울산,남구
b939da371d91,비회원,경남,김해시
74d56d044575,비회원,경기,화성시
96b8a2f6d4a2,비회원,경기,용인시
30aa3469d4fe,비회원,경남,창원시
4fa5db89ced0,비회원,경기,하남시
06e0d42c2b73,비회원,전남,나주시
8fd5bb750d8c,비회원,경기,고양시
429cb7e7cada,비회원,대구,달서구
1dda5532e225,비회원,경기,안양시
3a772ac34eda,비회원,경북,상주시
0aa3f037d6d1,비회원,대구,중구
a917e554f139,비회원,경남,김해시
30c0c978be37,비회원,경남,김해시
d7b9bfe695eb,비회원,경기,평택시
13164b1b039c,비회원,경남,김해시
2bc0ed8e888d,비회원,전북특별자치도,전주시
ff56f31453be,비회원,경남,양산시
26f8dba8763b,비회원,경북,경주시
1cb12c34af01,비회원,부산,사하구
677c9b142cc3,비회원,경북,문경시
484a688af780,비회원,충남,예산군
5767296cf96d,비회원,인천,부평구
4dd091dfd576,비회원,경북,포항시
630c7a869691,비회원,대구,수성구
ffe477fb9689,비회원,경기,시흥시
927503ada616,비회원,충북,청주시
23b9bb079956,비회원,광주,광산구
04ba31f6c2d9,비회원,부산,부산진구
8d9a9b61f271,비회원,경기,부천시
c76facccbb9f,비회원,부산,해운대구
98f5f0133e96,비회원,전남,목포시
7f0deea5f272,비회원,경남,남해군
0c8e37bb820b,비회원,경기,고양시
1ba17aaacf7c,비회원,대구,북구
28d47f9cac10,비회원,서울,강북구
